"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_51","2021",55.35,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_52","2021",51.22,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_53","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_54","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_61","2021",35.24,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_62","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_63","2021",27.32,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_71","2021",38.38,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_72","2021",45.55,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_73","2021",46.74,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_74","2021",51.5,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_75","2021",47.01,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_81","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_83","2021",45.37,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_91","2021",39.52,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_92","2021",38.11,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_93","2021",39.87,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_94","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_96","2021",45.89,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_M","OC2_ISCO08_X","2021",41.67,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_TOTAL","2021",25.2,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_12","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_13","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_22","2021",34.99,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_23","2021",27.19,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_32","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_33","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_51","2021",23.98,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_52","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_61","2021",20.28,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_63","2021",14.56,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_71","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_73","2021",32.1,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_75","2021",25.74,,"T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_82","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_83","2021",,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_91","2021",28.82,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_92","2021",38.24,"U","T11:142","R1:3513_S3:8"
"AFG","BA:15715","HOW_TEMP_SEX_OC2_NB","SEX_F","OC2_ISCO08_93","2021",29.73,"U","T11:142","R1:3513_S3:8"
